ID,Word,List,ValMn,ValSD,AroMn,AroSD
81,candle,3,5.62,1.66,3.49,1.66
82,fig,2,5.63,1.25,3.87,1.25
83,camel,6,5.63,1.6,4.34,1.6
84,scarf,4,5.64,1.47,3.46,1.47
85,send,3,5.64,1.6,4.29,1.6
86,makeup,5,5.64,2.09,4.48,2.09
87,phone,1,5.64,1.69,4.5,1.69
88,skinny,6,5.65,2.09,4.52,2.09
89,jelly,2,5.66,1.44,3.7,1.44
90,land,4,5.66,1.42,4.16,1.42
91,similar,5,5.66,1.4,4.2,1.4
92,circle,1,5.67,1.26,3.86,1.26
93,medicine,6,5.67,2.06,4.4,2.06
94,key,2,5.68,1.62,3.7,1.62
95,pecan,3,5.68,1.72,4.04,1.72
96,teacher,4,5.68,2.12,4.05,2.12
97,rink,3,5.7,1.66,4.33,1.66
98,clarinet,2,5.7,1.88,4.47,1.88
99,oven,1,5.71,1.33,3.78,1.33
100,leg,4,5.71,1.12,4.5,1.12
101,frog,6,5.71,1.74,4.54,1.74
102,telephone,5,5.71,1.4,4.55,1.4
103,den,4,5.72,1.49,3.5,1.49
104,book,5,5.72,1.54,4.17,1.54
105,flute,2,5.72,1.44,4.25,1.44
106,tolerant,1,5.72,1.54,4.33,1.54
107,cat,3,5.72,2.43,4.38,2.43
108,adapt,6,5.72,1.14,4.52,1.14
109,nursery,6,5.73,2.3,4.04,2.3
110,ancestor,5,5.73,1.74,4.27,1.74
111,gender,3,5.73,1.55,4.38,1.55
112,sympathetic,2,5.74,2.01,3.99,2.01
113,harvest,4,5.74,1.55,4.37,1.55
114,mobile,1,5.74,1.34,4.41,1.34
115,courtyard,6,5.75,1.35,4,1.35
116,sheltered,4,5.75,1.92,4.28,1.92
117,blouse,5,5.75,1.71,4.43,1.71
118,modest,3,5.76,1.28,3.98,1.28
119,flow,1,5.77,1.19,3.6,1.19
120,western,2,5.77,1.56,4.39,1.56
121,stable,1,5.78,1.57,4.06,1.57
122,contemporary,6,5.78,1.41,4.49,1.41
123,consoled,2,5.78,1.64,4.53,1.64
124,cinnamon,3,5.79,1.99,4.35,1.99
125,owl,4,5.8,1.31,3.98,1.31
126,checkerboard,5,5.8,1.47,4.21,1.47
127,crackers,4,5.8,1.4,4.47,1.4
128,author,6,5.82,1.42,4.34,1.42
129,patio,1,5.83,1.42,3.75,1.42
130,velvet,2,5.83,1.56,3.8,1.56
131,slogan,3,5.83,1.39,4.18,1.39
132,decency,5,5.83,1.78,4.5,1.78
133,humble,2,5.86,1.42,3.74,1.42
134,poetry,1,5.86,1.91,4,1.91
135,piano,3,5.86,1.66,4.2,1.66
136,tea,5,5.87,2.39,4.13,2.39
137,hawk,6,5.88,1.62,4.39,1.62
138,lamb,4,5.89,1.73,3.36,1.73
139,horse,2,5.89,1.55,3.89,1.55
140,seagull,5,5.89,1.91,4.57,1.91
141,groceries,3,5.9,1.75,3.77,1.75
142,wheat,6,5.9,1.32,4.03,1.32
143,window,4,5.91,1.38,3.97,1.38
144,herbal,1,5.92,1.29,3.63,1.29
145,village,6,5.92,1.34,4.08,1.34
146,inform,4,5.92,0.95,4.57,0.95
147,proper,1,5.93,2.02,3.56,2.02
148,furniture,2,5.93,1.68,4.17,1.68
149,town,3,5.93,1.61,4.29,1.61
150,glasses,5,5.93,1.48,4.36,1.48
151,porpoise,3,5.93,1.34,4.37,1.34
152,listen,4,5.93,1.16,4.45,1.16
153,milk,6,5.95,2.16,3.68,2.16
154,patience,2,5.96,1.68,3.78,1.68
155,reflection,1,5.97,1.83,4.38,1.83
156,soap,5,5.97,1.64,4.52,1.64
157,plant,6,5.98,1.83,3.62,1.83
158,sentiment,5,5.98,1.71,4.41,1.71
159,camera,1,5.99,1.64,4.52,1.64
160,prefer,3,6,1.86,4.5,1.86
161,shrimp,2,6,2.3,4.52,2.3
162,corn,4,6,1.69,4.57,1.69
163,orchestra,4,6.02,1.89,3.52,1.89
164,vegetables,3,6.02,2.01,4.22,2.01
165,coin,1,6.02,1.96,4.29,1.96
166,candid,2,6.02,1.77,4.47,1.77
167,flag,5,6.02,1.66,4.6,1.66
168,civil,6,6.03,1.32,4.14,1.32
169,trait,6,6.04,1.81,4.04,1.81
170,relate,3,6.04,1.7,4.33,1.7
171,buffalo,4,6.04,1.56,4.59,1.56
172,practical,2,6.06,1.73,3.94,1.73
173,ornament,5,6.06,1.72,4.39,1.72
174,rational,1,6.07,1.44,3.75,1.44
175,leaves,2,6.07,1.93,3.8,1.93
176,pancakes,4,6.08,1.83,4.06,1.83
177,doll,1,6.09,1.96,4.24,1.96
178,casual,5,6.11,1.36,3.98,1.36
179,adorn,3,6.11,1.12,4.56,1.12
180,shampoo,6,6.12,1.59,3.78,1.59
181,grass,1,6.12,1.44,4.14,1.44
182,emerald,5,6.12,1.63,4.58,1.63
183,open,2,6.13,1.66,4.4,1.66
184,sprinkle,6,6.13,1.62,4.5,1.62
185,logical,4,6.14,1.74,3.98,1.74
186,pond,3,6.14,1.51,4.1,1.51
187,afternoon,2,6.15,1.41,4.46,1.41
188,dawn,4,6.16,2.33,4.39,2.33
189,cook,6,6.16,1.89,4.44,1.89
190,green,3,6.18,2.05,4.28,2.05
191,binoculars,1,6.18,1.54,4.44,1.54
192,shoes,5,6.19,1.36,4.52,1.36
193,moral,4,6.2,1.85,4.49,1.85
194,virtue,5,6.22,2.06,4.52,2.06
195,pray,6,6.23,2.01,4.57,2.01
196,soup,3,6.25,1.94,4.32,1.94
197,rose,1,6.26,1.75,4.59,1.75
198,hamburger,2,6.27,1.5,4.55,1.5
199,crystal,4,6.28,1.65,4.32,1.65
200,precise,2,6.29,1.58,4.34,1.58
201,authentic,6,6.29,1.82,4.37,1.82
202,noon,5,6.3,1.54,3.65,1.54
203,familiar,1,6.3,1.71,3.92,1.71
204,tidy,3,6.3,1.56,3.98,1.56
205,peach,6,6.3,1.66,4.04,1.66
206,autumn,1,6.3,2.14,4.51,2.14
207,tree,2,6.32,1.56,3.42,1.56
208,person,3,6.32,1.74,4.19,1.74
209,violinist,4,6.32,1.57,4.33,1.57
210,boy,5,6.32,1.6,4.58,1.6
211,polite,3,6.36,1.76,4.27,1.76
212,tenderness,4,6.36,1.55,4.48,1.55
213,harp,6,6.37,1.61,4.41,1.61
214,walking,5,6.4,1.83,4.34,1.83
215,dress,2,6.41,1.34,4.05,1.34
216,apple,1,6.41,1.5,4.17,1.5
217,hippotamus,6,6.41,1.62,4.36,1.62
218,countryside,1,6.42,1.9,4.21,1.9
219,priest,5,6.42,2,4.41,2
220,sheep,4,6.44,1.63,3.78,1.63
221,oxygen,3,6.44,1.92,4.38,1.92
222,cottage,2,6.45,1.52,3.39,1.52
223,clearer,4,6.45,1.5,4.38,1.5
224,nourish,1,6.46,1.69,4.29,1.69
225,favor,2,6.46,1.52,4.54,1.52
226,swan,5,6.48,2.01,3.52,2.01
227,poem,6,6.48,1.94,4.59,1.94
228,saint,3,6.49,1.7,4.49,1.7
229,cooperative,2,6.5,1.6,4.5,1.6
230,innocent,4,6.51,1.34,4.21,1.34
231,pear,3,6.52,1.65,3.96,1.65
232,sofa,5,6.53,1.5,3.1,1.5
233,candy,6,6.54,2.09,4.58,2.09
234,nice,1,6.55,2.44,4.38,2.44
235,crown,2,6.58,1.42,4.28,1.42
236,helpful,5,6.58,1.78,4.51,1.78
237,lounge,3,6.6,1.38,3.97,1.38
238,responsible,1,6.6,1.7,4.5,1.7
239,nestle,4,6.63,1.59,4.1,1.59
240,flower,6,6.64,1.78,4,1.78
241,cuisine,4,6.64,1.48,4.39,1.48
242,bathtub,3,6.69,1.57,4.36,1.57
243,breathe,2,6.7,1.57,3.74,1.57
244,garden,6,6.71,1.74,4.39,1.74
245,soul,5,6.72,1.33,4.39,1.33
246,honey,1,6.73,1.7,4.51,1.7
247,able,4,6.74,2,4.3,2
248,moon,2,6.74,1.32,4.6,1.32
249,graceful,1,6.75,1.54,4.02,1.54
250,blue,6,6.76,1.78,4.31,1.78
251,lake,3,6.82,1.54,3.95,1.54
252,cool,5,6.83,1.34,4.17,1.34
253,caring,2,6.84,1.92,4.38,1.92
254,breeze,3,6.85,1.71,4.37,1.71
255,river,5,6.85,1.69,4.51,1.69
256,girl,4,6.87,1.64,4.29,1.64
257,leisurely,1,6.88,1.81,3.8,1.81
258,thankful,6,6.89,2.29,4.34,2.29
259,donate,4,6.89,1.69,4.48,1.69
260,serene,1,6.9,1.99,3.4,1.99
261,silk,2,6.9,1.27,3.71,1.27
262,nectar,3,6.9,1.53,3.89,1.53
263,ease,5,6.93,1.46,3.46,1.46
264,fireplace,6,6.93,1.76,4.48,1.76
265,blanket,6,6.94,1.34,3.41,1.34
266,bliss,5,6.95,2.24,4.41,2.24
267,haven,1,6.97,1.92,4,1.92
268,relaxed,2,7,1.77,2.39,1.77
269,grace,4,7,1.59,4.12,1.59
270,assure,3,7.04,1.32,4.52,1.32
271,safe,4,7.07,1.9,3.86,1.9
272,comfort,2,7.07,2.14,3.93,2.14
273,dignified,6,7.1,1.26,4.12,1.26
274,useful,5,7.14,1.6,4.26,1.6
275,butterfly,3,7.17,1.2,3.47,1.2
276,fluffy,1,7.17,1.56,4.57,1.56
277,politeness,4,7.18,1.5,3.74,1.5
278,bless,1,7.19,1.69,4.05,1.69
279,sleep,5,7.2,1.77,2.8,1.77
280,bird,3,7.27,1.36,3.17,1.36
281,security,6,7.28,1.51,4.22,1.51
282,protected,2,7.29,1.79,4.09,1.79
283,gentle,5,7.31,1.3,3.21,1.3
284,sky,1,7.37,1.4,4.27,1.4
285,grateful,3,7.37,0.97,4.58,0.97
286,cozy,4,7.39,1.53,3.32,1.53
287,sunflower,2,7.41,1.34,4.3,1.34
288,elegant,6,7.43,1.26,4.53,1.26
289,refreshment,4,7.44,1.29,4.45,1.29
290,wise,3,7.52,1.23,3.91,1.23
291,carefree,6,7.54,1.38,4.17,1.38
292,kind,1,7.59,1.67,4.46,1.67
293,untroubled,5,7.62,1.41,3.89,1.41
294,nature,2,7.65,1.37,4.37,1.37
295,sunset,2,7.68,1.72,4.2,1.72
296,peace,1,7.72,1.75,2.95,1.75
297,cuddle,6,7.72,1.92,4.4,1.92
298,peaceful,5,7.77,1.28,2.87,1.28
299,kindness,4,7.82,1.39,4.3,1.39
300,relax,3,7.87,1.7,2.47,1.7
